Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PT_DIFF
ATL,ATL @ PHX,01/23/2016,L,240,95,34,84,40.5,12,34,35.3,15,18,83.3,11,32,43,23,8,7,16,17,-3
CHI,CHI @ CLE,01/23/2016,W,240,96,38,87,43.7,7,17,41.2,13,15,86.7,13,40,53,21,2,5,8,18,13
LAL,LAL @ POR,01/23/2016,L,240,103,34,69,49.3,7,17,41.2,28,32,87.5,4,26,30,14,4,6,19,20,-18
MIL,MIL @ NOP,01/23/2016,L,240,99,39,74,52.7,6,15,40,15,18,83.3,6,37,43,20,3,6,18,20,-17
NYK,NYK @ CHA,01/23/2016,L,240,84,29,77,37.7,7,24,29.2,19,32,59.4,8,43,51,23,4,8,15,26,-13
POR,POR vs. LAL,01/23/2016,W,240,121,47,93,50.5,10,31,32.3,17,22,77.3,14,28,42,26,12,1,9,22,18
DET,DET @ DEN,01/23/2016,L,240,101,40,84,47.6,11,29,37.9,10,19,52.6,11,40,51,23,4,5,16,22,-3
CLE,CLE vs. CHI,01/23/2016,L,240,83,35,94,37.2,4,24,16.7,9,22,40.9,16,32,48,17,5,5,4,18,-13
NOP,NOP vs. MIL,01/23/2016,W,240,116,43,94,45.7,17,31,54.8,13,17,76.5,12,29,41,33,10,4,8,17,17
DEN,DEN vs. DET,01/23/2016,W,240,104,36,78,46.2,8,22,36.4,24,29,82.8,3,29,32,18,15,4,8,19,3
MIN,MIN vs. MEM,01/23/2016,W,240,106,34,68,50,5,17,29.4,33,36,91.7,8,30,38,26,7,5,16,21,5
IND,IND @ SAC,01/23/2016,L,240,97,36,86,41.9,7,19,36.8,18,25,72,9,32,41,18,7,10,12,26,-11
PHX,PHX vs. ATL,01/23/2016,W,240,98,34,85,40,10,24,41.7,20,26,76.9,15,37,52,22,10,6,17,17,3
SAC,SAC vs. IND,01/23/2016,W,240,108,38,85,44.7,5,16,31.3,27,36,75,13,39,52,19,7,4,15,22,11
MEM,MEM @ MIN,01/23/2016,L,240,101,37,79,46.8,9,19,47.4,18,22,81.8,10,24,34,22,9,3,14,23,-5
CHA,CHA vs. NYK,01/23/2016,W,240,97,28,82,34.1,9,31,29,32,37,86.5,11,38,49,17,5,3,12,20,13
BOS,BOS vs. CHI,01/22/2016,W,240,110,43,96,44.8,8,23,34.8,16,21,76.2,16,30,46,26,14,6,12,22,9
DAL,DAL vs. OKC,01/22/2016,L,240,106,40,87,46,10,33,30.3,16,18,88.9,7,26,33,24,9,6,8,15,-3
HOU,HOU vs. MIL,01/22/2016,W,240,102,38,94,40.4,15,44,34.1,11,16,68.8,15,27,42,27,10,10,12,21,4
LAC,LAC @ NYK,01/22/2016,W,240,116,43,76,56.6,13,23,56.5,17,24,70.8,3,33,36,27,10,3,11,17,28
LAL,LAL vs. SAS,01/22/2016,L,240,95,38,84,45.2,6,16,37.5,13,18,72.2,12,33,45,19,3,5,13,12,-13
BKN,BKN vs. UTA,01/22/2016,L,240,86,33,75,44,6,16,37.5,14,18,77.8,6,18,24,24,5,2,12,15,-22
NYK,NYK vs. LAC,01/22/2016,L,240,88,33,85,38.8,4,18,22.2,18,20,90,12,30,42,24,5,2,17,22,-28
IND,IND @ GSW,01/22/2016,L,240,110,44,95,46.3,3,17,17.6,19,27,70.4,15,29,44,22,11,4,13,20,-12
SAS,SAS @ LAL,01/22/2016,W,240,108,43,85,50.6,11,21,52.4,11,13,84.6,7,28,35,26,10,13,7,14,13
OKC,OKC @ DAL,01/22/2016,W,240,109,45,91,49.5,8,30,26.7,11,15,73.3,17,30,47,18,3,6,14,19,3
TOR,TOR vs. MIA,01/22/2016,W,240,101,35,75,46.7,13,25,52,18,21,85.7,6,35,41,19,4,8,14,15,20
UTA,UTA @ BKN,01/22/2016,W,240,108,43,75,57.3,9,16,56.3,13,15,86.7,9,31,40,28,5,4,18,20,22
MIL,MIL @ HOU,01/22/2016,L,240,98,39,85,45.9,3,14,21.4,17,22,77.3,14,34,48,30,7,10,15,17,-4
ORL,ORL vs. CHA,01/22/2016,L,265,116,45,91,49.5,11,23,47.8,15,19,78.9,7,41,48,31,6,9,19,25,-4
CHA,CHA @ ORL,01/22/2016,W,265,120,45,101,44.6,10,27,37,20,22,90.9,14,34,48,23,10,4,9,19,4
CHI,CHI @ BOS,01/22/2016,L,240,101,38,89,42.7,3,13,23.1,22,26,84.6,15,35,50,11,7,4,20,19,-9
