,Player,TEAM,AGE,GP,W,L,MIN,DEF RTG,DREB,DREB%,%DREB,STL,STL%,BLK,%BLK,"OPP PTS
OFF TOV","OPP PTS
2ND CHANCE","OPP PTS
FB","OPP PTS
PAINT","DEF
WS"
1,Kawhi Leonard,SAS,25,42,36,6,32.8,93.3,5.6,16.3,22.3,1.9,31.4,0.9,22.2,8.7,6.3,8.1,25.9,0.2
2,Stephen Curry,GSW,28,42,39,3,33.9,97.2,4.6,11.5,17.3,2.1,35.1,0.1,3,11.6,9,9.6,31.2,0.166
3,Tim Duncan,SAS,40,37,31,6,25.9,92.3,5.8,22,29.1,0.9,20.2,1.3,37.7,7.4,4.7,6.2,18.7,0.165
4,Draymond Green,GSW,26,43,40,3,34.6,97.8,7.7,18.9,28.4,1.4,22.5,1.3,28,12,9.4,10.3,32.1,0.163
5,LaMarcus Aldridge,SAS,30,40,34,6,29.5,95.1,6.3,20.9,28.5,0.3,7.1,0.9,23.1,8.1,5.6,7.1,23.4,0.161
6,Tony Parker,SAS,34,40,34,6,27.1,94.2,2.3,8.4,11.3,0.9,19,0.2,4.6,7.2,4.9,7,20.6,0.156
7,LeBron James,CLE,31,41,30,11,35.8,99.6,6,16.7,23.5,1.4,27.3,0.7,23.5,11.6,7.8,7.5,28.5,0.146
8,Marcus Smart,BOS,22,23,11,12,26.8,96.5,3,10.6,16.4,1.6,28.6,0.3,13.8,7.5,7.7,4.7,21.4,0.139
9,Patty Mills,SAS,27,44,38,6,20.3,91.6,1.5,7.4,10.4,0.9,24.1,0.1,3.3,6.1,4.3,3.9,18.3,0.138
9,Paul George,IND,26,44,23,21,35.4,100.3,6.3,16.8,26,2,27.8,0.3,9.2,13.1,10.4,9.7,31,0.138
11,Kevin Durant,OKC,27,38,30,8,35.5,100.5,7.2,18.1,27.1,1,16.6,1.2,22.8,11.7,11,8.8,32.1,0.137
12,Matthew Dellavedova,CLE,25,41,30,11,27.1,96.8,1.9,6.7,9.7,0.7,18.6,0.1,6,8.1,5.9,4.9,20.6,0.136
13,Manu Ginobili,SAS,38,38,33,5,19.8,92,2.4,11.5,16.4,1.1,30.4,0.2,9.5,6.2,4.4,4.1,17.5,0.135
14,Chris Bosh,MIA,32,44,23,21,33.6,100.2,6.7,19.2,28.4,0.8,16.4,0.7,17.3,10.2,9.6,6.3,26.6,0.133
15,Russell Westbrook,OKC,27,45,33,12,33.8,100.4,5.4,14.6,22.2,2.5,42.7,0.3,5.1,11.1,10.4,7.9,30.4,0.132
16,Klay Thompson,GSW,26,42,38,4,32.9,100.1,3.4,8.8,13.2,0.5,8.8,0.8,16.8,11.9,9.3,9.8,31.3,0.131
17,Boris Diaw,SAS,34,44,38,6,19.1,91.6,2.5,12.3,17.1,0.4,11.4,0.3,12.2,5.4,4.2,3.6,17.1,0.13
17,Danny Green,SAS,29,44,38,6,25.1,96,3.1,12.2,16.6,0.7,17.1,0.8,21.6,6.9,5,5.7,20,0.13
19,Tristan Thompson,CLE,25,42,30,12,27.2,97.9,6.1,22.3,30.7,0.3,9.2,0.4,19.8,8.9,5.2,4.9,22,0.128
20,Evan Turner,BOS,27,44,23,21,26.8,97.7,3.9,13.8,20.9,0.9,17.1,0.3,12.5,8.8,6.7,5.4,23.6,0.127
20,Iman Shumpert,CLE,26,20,15,5,24.3,96.2,2.3,9.1,13.6,1.1,25.9,0.4,19,8.2,5.5,4.6,18.1,0.127
22,George Hill,IND,30,37,20,17,35,101.1,3.2,8.9,13.6,1.4,20.9,0.2,8,12.7,10,8.2,30.5,0.126
22,Marcus Morris Sr.,DET,26,43,22,21,36.4,101.6,4,11.2,16,0.9,14.2,0.3,11.3,10.7,8.3,7.9,34.1,0.126
22,Monta Ellis,IND,30,44,23,21,33.3,100.7,2.3,6.7,10.3,1.7,23.7,0.5,17.9,12.2,9.7,9.3,29.2,0.126
25,Kentavious Caldwell-Pope,DET,23,44,23,21,37.4,102.1,2.9,7.6,10.9,1.6,26.2,0.3,9.2,11.2,8.7,7.9,34.9,0.125
26,Al Horford,ATL,30,45,26,19,31.5,100.3,5,15.3,23.6,0.8,14.1,1.5,38.4,9.6,8.6,7.2,27.1,0.124
26,Andre Iguodala,GSW,32,44,40,4,27.6,98.5,3.4,10.9,17,1.3,24.5,0.4,9.5,10.3,8,8.2,26.1,0.124
28,Steven Adams,OKC,22,44,32,12,24.3,96.6,3.8,14.3,21.7,0.4,8.3,1.2,30.8,7.8,6.9,5.5,20.8,0.123
29,Andre Drummond,DET,22,44,23,21,33.8,101.2,10,30.2,43.2,1.7,30.8,1.5,54.2,9.6,7.1,7.3,31.4,0.122
30,Serge Ibaka,OKC,26,45,33,12,32.6,100.9,4.9,13.6,20.8,0.4,7.3,2.2,43.5,10.2,10.2,7.4,28.8,0.121
31,Goran Dragic,MIA,30,37,22,15,32.5,101,2.6,7.8,11.5,1,23.1,0.2,5,10.1,9.3,6.4,27.9,0.12
